 Calculations that do not match the inspection results.
 _______________________________________________________________________________
  # cycles to | as previous, | failure # cycles/ | as previous, |detected cracks
    failure   | period after | applied # cycles  | period after |in subsequent
              |  last insp.  |                   |  last insp.  |inspections
    7.750E+07    8.560E+06         8.344E-01         3.576E-01   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    7.045E+07    1.513E+06         7.585E-01         6.320E-02   2    0
    7.466E+07    5.718E+06         8.038E-01         2.389E-01   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   2    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    7.784E+07    8.901E+06         8.381E-01         3.718E-01   2    3
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    8.573E+07    1.679E+07         9.230E-01         7.014E-01   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    8.176E+07    1.282E+07         8.803E-01         5.357E-01   2    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    9.139E+07    2.245E+07         9.840E-01         9.379E-01   0    1
    8.038E+07    1.144E+07         8.655E-01         4.780E-01   1    1
    8.061E+07    1.167E+07         8.679E-01         4.873E-01   4    1
    7.262E+07    3.683E+06         7.819E-01         1.539E-01   1    0
    8.346E+07    1.452E+07         8.986E-01         6.066E-01   0    1
    7.642E+07    7.483E+06         8.228E-01         3.126E-01   0    3
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    8.265E+07    1.371E+07         8.899E-01         5.728E-01   1    0
    7.759E+07    8.647E+06         8.353E-01         3.612E-01   2    0
    8.281E+07    1.387E+07         8.916E-01         5.793E-01   0    2
    7.826E+07    9.318E+06         8.426E-01         3.892E-01   1    0
    7.580E+07    6.861E+06         8.161E-01         2.866E-01   1    0
    7.741E+07    8.467E+06         8.334E-01         3.537E-01   1    1
    8.250E+07    1.356E+07         8.882E-01         5.663E-01   1    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
